add device 1: /dev/input/event5
  name:     "msm8974-taiko-mtp-snd-card Headset Jack"
add device 2: /dev/input/event4
  name:     "msm8974-taiko-mtp-snd-card Button Jack"
add device 3: /dev/input/event3
  name:     "hs_detect"
add device 4: /dev/input/event1
  name:     "touch_dev"
add device 5: /dev/input/event0
  name:     "qpnp_pon"
add device 6: /dev/input/event2
  name:     "gpio-keys"
/dev/input/event1: 0003 0036 0000042b
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000153
/dev/input/event1: 0003 0036 00000427
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000152
/dev/input/event1: 0003 0036 00000423
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000151
/dev/input/event1: 0003 0036 0000041e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000419
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000150
/dev/input/event1: 0003 0036 00000414
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014f
/dev/input/event1: 0003 0036 0000040f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014e
/dev/input/event1: 0003 0036 00000409
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014d
/dev/input/event1: 0003 0036 00000401
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014b
/dev/input/event1: 0003 0036 000003f5
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000149
/dev/input/event1: 0003 0036 000003e6
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000145
/dev/input/event1: 0003 0036 000003d2
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000140
/dev/input/event1: 0003 0036 000003bc
/dev/input/event1: 0003 003a 00000030
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000138
/dev/input/event1: 0003 0036 000003a2
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000012f
/dev/input/event1: 0003 0036 00000386
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000122
/dev/input/event1: 0003 0036 00000365
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000010e
/dev/input/event1: 0003 0036 0000033c
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000000f7
/dev/input/event1: 0003 0036 00000315
/dev/input/event1: 0003 003a 0000002f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 00000057
/dev/input/event1: 0003 0035 0000010d
/dev/input/event1: 0003 0036 00000571
/dev/input/event1: 0003 0030 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000056f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000010e
/dev/input/event1: 0003 0036 00000567
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000112
/dev/input/event1: 0003 0036 00000551
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000117
/dev/input/event1: 0003 0036 00000531
